Product Category,Packaging Option,MOQ (Units),Lead Time (Weeks),Formulation Capabilities,Product Name Example
Skincare,Glass Jar (50ml),5000,8,Organic; Vegan; Anti-aging formulas,Night Cream
Skincare,Airless Pump (30ml),10000,10,Vitamin C serum; Retinol; Oil-free,Brightening Serum
Skincare,Plastic Tube (100ml),3000,6,Hydrating; SPF 30; Sensitive skin,Daily Moisturizer
Skincare,Dropper Bottle (30ml),5000,8,Essential oils; Botanical extracts,Facial Oil
Makeup,Lipstick Tube,10000,12,Matte; Satin finish; Long-lasting; Vegan,Classic Lipstick
Makeup,Lip Gloss Tube with Wand,5000,8,High shine; Plumping; Flavor additives,Volumizing Lip Gloss
Makeup,Compact Powder Case,10000,10,Pressed powder; Talc-free; SPF,Setting Powder
Makeup,Mascara Tube with Brush,15000,12,Waterproof; Volumizing; Cruelty-free,Lash Maximizer
Haircare,PET Bottle (250ml),5000,6,Sulfate-free; Color-safe; Keratin infused,Daily Shampoo
Haircare,Squeeze Tube (200ml),5000,6,Deep conditioning; Argan oil; Vegan,Repair Hair Mask
Haircare,Spray Bottle (150ml),10000,8,Heat protection; Leave-in; Lightweight,Styling Spray
Bodycare,Pump Dispenser (500ml),3000,6,Shea butter; Fragrance-free; Eczema friendly,Body Lotion
Bodycare,Tub (200ml),5000,8,Exfoliating; Sugar or Salt base; Natural oils,Body Scrub
Fragrance,Glass Spray Bottle (50ml),2000,10,Eau de Parfum; Alcohol base; Synthetic or Natural oils,Signature Scent
Skincare,Rollerball (10ml),5000,8,Eye serum; Cooling effect; Caffeine infused,Under Eye Serum
